WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
1074.907,285.508,215.428,532.762,528.954,1
2488.615,383.766,224.104,839.411,680.642,2
166.561,122.234,114.424,137.17,236.006,3
2222.961,386.658,234.961,759.413,645.28,4
1205.142,234.771,170.613,503.8,466.095,5
1196.084,327.887,230.613,571.318,599.06,6
1920.935,286.303,188.573,768.823,579.736,7
21.515,21.222,20.823,21.917,39.799,8
374.167,186.739,127.362,159.8,264.026,9
306.611,140.661,84.169,110.089,184.698,10
1844.472,310.629,193.62,682.172,613.379,11
70.562,69.679,67.947,70.457,146.465,12
48.974,46.662,45.718,49.594,87.516,13
589.285,265.062,195.417,320.581,427.834,14
87.892,78.871,76.758,87.66,144.88,15
1916.811,438.625,275.699,720.665,793.318,16
2737.904,368.504,217.769,1007.547,794.646,17
212.39,156.432,144.99,173.204,298.095,18
267.894,207.966,191.014,233.785,398.456,19
1037.471,275.303,218.021,567.463,539.99,20
1794.493,487.964,286.561,706.834,860.422,21
772.706,323.474,216.432,389.746,487.649,22
2822.201,565.017,282.545,982.899,980.704,23
2537.622,598.912,308.396,812.096,1010.794,24
733.654,276.085,235.737,472.223,529.632,25
152.239,122.31,79.298,87.955,164.327,26
2601.702,572.86,307.929,918.764,1037.84,27
95.725,81.715,80.23,90.226,177.929,28
1430.955,425.049,304.645,805.856,797.502,29
3280.741,674.188,366.319,1185.301,1263.152,30
2530.176,641.155,348.528,966.318,1086.915,31
800.782,364.763,244.544,326.744,547.59,32
1322.358,637.478,310.542,703.015,768.75,33
3113.246,730.944,376.475,1179.404,1308.526,34
386.382,337.532,198.257,216.541,405.595,35
396.942,239.106,158.658,187.963,337.2,36
619.696,448.034,297.848,398.205,612.0,37
2465.031,869.47,404.092,1007.126,1247.658,38
2967.291,920.22,402.552,1040.04,1407.997,39
466.262,293.218,280.835,460.737,596.414,40
2426.508,772.96,397.07,927.017,1243.131,41
3637.787,1166.183,457.043,1389.489,1647.416,42
1849.449,782.093,448.488,918.32,1211.319,43
3367.074,846.684,514.287,1653.584,1695.289,44
286.216,261.667,249.865,278.015,490.186,45
3286.379,1086.402,498.334,1672.692,1706.981,46
4900.384,1437.797,528.578,2101.155,2209.835,47
4961.212,1237.711,531.754,2264.428,2263.65,48
2368.33,818.796,543.092,1380.445,1579.097,49
3473.297,1121.541,475.595,1372.827,1851.052,50
579.967,360.072,314.236,407.305,664.35,51
99.62,101.8,92.182,94.973,174.1,52
274.834,243.693,183.545,191.238,365.282,53
3881.264,1255.318,522.156,2020.757,2109.753,54
4233.328,1244.807,565.843,2201.143,2345.906,55
4042.506,1360.286,573.35,1888.97,2326.809,56
3911.39,1234.038,580.971,1984.263,2293.555,57
4798.968,1627.221,611.204,2337.491,2698.42,58
4980.225,1750.361,613.769,2356.655,2799.752,59
3771.673,1164.904,552.538,1964.2,2262.909,60
3336.226,839.68,521.602,2172.707,2060.059,61
1522.839,787.306,437.898,1255.332,1182.712,62
3352.714,1073.831,554.258,2280.417,2144.055,63
3165.792,1282.979,660.045,1915.932,2275.285,64
2373.793,935.617,571.433,1768.278,1768.37,65
2869.287,1137.767,741.253,1872.589,2296.126,66
5118.541,1477.693,727.356,3451.783,3119.087,67
3260.795,913.954,596.305,2725.239,2274.151,68
4039.602,1220.21,621.639,2795.855,2713.283,69
4482.848,1616.749,752.728,2468.79,3152.377,70
4967.463,1553.723,662.548,3076.104,3298.104,71
2653.587,1070.374,685.969,2501.366,2161.459,72
1276.98,698.852,664.114,1495.797,1546.831,73
1514.837,820.834,541.771,914.72,1431.647,74
4050.778,1506.436,714.962,3146.702,3033.333,75
4642.967,1620.242,846.297,3603.084,3350.473,76
4713.047,1680.278,763.479,3247.767,3523.715,77
3658.842,1230.986,745.401,2370.394,2967.08,78
4228.246,1734.138,841.951,2156.777,3438.865,79
2142.352,1113.154,646.549,1299.068,1949.503,80
5135.247,1906.868,816.645,3330.841,4002.666,81
2807.372,1171.74,854.867,2725.774,2678.388,82
3010.412,1148.98,736.138,2835.642,2654.634,83
844.013,622.149,611.434,881.888,1304.736,84
1187.615,844.627,737.107,1500.976,1646.325,85
3246.419,1617.148,794.333,2687.434,2947.963,86
815.078,441.579,491.808,1299.506,1087.315,87
497.392,440.453,427.122,522.417,858.643,88
4172.626,2349.043,883.484,3434.805,3799.542,89
4085.539,1913.869,850.365,2846.687,3676.318,90
5519.488,3155.7,945.442,3876.173,4915.614,91
3382.964,2054.279,1004.926,2951.615,3443.691,92
2368.778,1442.002,936.862,1907.336,2625.068,93
1511.631,1058.752,815.096,1448.485,1887.31,94
2694.934,1058.033,916.702,3006.04,3000.638,95
1667.951,1539.716,796.702,1428.137,1974.296,96
5122.79,2931.505,1039.719,4158.968,4963.963,97
5135.172,3074.314,1049.85,4279.863,5047.237,98
4718.615,2815.931,1064.042,3605.182,4835.547,99
5439.216,3488.521,1130.034,4511.332,5519.832,100
2656.477,1555.255,1030.543,3265.229,3182.576,101
4105.509,2675.198,1083.595,2967.075,4440.651,102
4171.254,2295.129,1102.657,4146.874,4633.183,103
3294.23,1864.673,1096.23,3757.143,3870.442,104
4840.125,2816.427,1055.864,4083.612,5301.638,105
5139.515,2997.74,1105.178,4321.215,5688.26,106
4006.286,2251.162,1062.353,3905.134,4615.773,107
5013.477,3239.86,1119.473,4284.378,5740.769,108
5135.331,3508.04,1116.509,4332.281,5971.065,109
5158.74,3556.154,1145.524,4389.964,6095.07,110
5198.523,3604.653,1182.244,4512.139,6226.218,111
5085.904,3553.961,1160.134,4395.917,6187.737,112
4954.837,3080.714,1159.503,4377.52,6047.277,113
4508.267,2455.73,1135.432,3916.987,5464.974,114
2883.321,1538.615,1174.728,2986.354,3809.447,115
2634.431,2255.889,1160.129,2062.843,3475.246,116
2509.901,2367.905,877.451,1203.629,3165.978,117
3157.853,2791.726,1191.456,3134.351,4339.402,118
2691.466,1395.207,1221.94,3114.685,3761.854,119
2956.735,3174.911,1201.756,1869.854,4028.642,120
4449.714,3293.929,1324.371,3778.121,5952.018,121
3326.706,2033.306,1220.092,4248.62,4622.901,122
2095.413,2461.475,1113.19,2001.795,3113.317,123
3575.788,2798.672,1326.559,3828.908,5135.963,124
2411.156,1775.789,1104.726,1899.307,3261.905,125
1288.292,1486.015,651.96,734.521,1799.044,126
2016.233,1798.63,1151.431,2215.074,2901.593,127
2783.636,2455.021,1242.043,3188.445,4140.584,128
3289.239,1816.843,1433.803,3093.862,4685.975,129
3459.819,2758.053,1443.788,4117.042,5298.282,130
4098.02,4105.159,1636.447,3349.549,6178.353,131
4684.7,4066.572,1713.14,5001.576,7161.37,132
4041.187,2317.253,1435.01,4573.353,6047.309,133
3009.177,2545.14,1359.183,2927.62,4532.856,134
2172.003,1361.443,902.974,1565.923,2978.822,135
2153.716,1946.794,1417.951,3647.635,3614.757,136
1539.611,2172.314,1005.019,989.971,2485.203,137
3430.721,3276.027,1576.926,4077.586,5625.721,138
3152.177,3071.907,1695.168,3968.399,5236.644,139
3311.024,2291.478,1711.002,4268.411,5314.235,140
3161.556,3694.268,1685.606,2805.885,5185.995,141
3335.782,3516.378,1678.089,3726.292,5585.281,142
3168.74,2414.671,1713.023,4521.735,5368.964,143
4292.06,4242.068,1871.198,4830.367,7353.001,144
4149.587,4044.741,1889.075,4696.433,7091.314,145
2970.958,2338.249,1409.594,3532.166,4962.434,146
2682.091,1800.085,1579.043,3899.435,4469.927,147
3330.665,3500.94,1751.928,3938.088,5796.107,148
4227.842,4180.328,1960.396,4923.774,7460.562,149
3599.966,2521.797,1829.112,4814.475,6161.091,150
3432.027,3028.917,1892.25,4393.153,5953.652,151
2755.758,2202.775,1497.416,2545.958,4345.846,152
2200.868,2590.77,1429.454,2139.09,3605.81,153
3745.901,3179.105,1837.67,4527.169,6592.434,154
2082.423,2673.73,1424.298,1880.474,3569.796,155
2468.655,2234.559,1315.319,2032.479,3928.293,156
2688.181,3027.529,1529.06,2575.61,4599.757,157
2903.194,2835.228,1810.949,4304.77,5381.632,158
3336.643,3497.333,1758.047,3694.064,5993.349,159
3711.161,3467.592,1883.913,4156.269,6615.86,160
3913.492,4043.488,2133.45,4939.512,7300.172,161
3077.888,3508.962,1927.512,4506.664,5907.969,162
2975.786,3135.91,1598.128,3090.607,5285.443,163
2558.818,3093.736,1762.864,2929.802,4630.986,164
3269.233,3361.575,1841.227,3593.509,5866.762,165
2973.81,2939.604,1749.148,3153.638,5177.625,166
3266.234,3617.435,1862.081,3969.811,6122.99,167
3222.084,3413.439,1883.542,4004.782,5994.82,168
3103.629,2791.738,2046.192,4769.177,5799.506,169
2920.63,2267.486,1855.053,4145.828,5231.572,170
2081.033,2936.678,1394.097,2676.003,4027.188,171
3082.64,3028.253,1799.219,3926.736,5684.401,172
2080.944,2106.811,1641.07,3147.621,3707.037,173
3079.785,3786.65,1821.597,3507.286,5809.572,174
2711.021,3148.552,1929.75,3461.087,4987.21,175
3955.123,3885.524,2080.506,4700.775,7377.961,176
3314.884,3897.648,1786.318,3712.689,6243.74,177
3470.842,3317.561,1884.848,4186.151,6350.497,178
3288.943,3472.717,1635.009,3273.056,5898.644,179
2396.307,2894.763,1173.051,1578.7,4082.075,180
2387.061,2253.64,1579.974,2893.047,4093.754,181
3845.207,3513.6,1850.551,4794.322,7169.736,182
3621.34,2606.593,1792.273,4989.428,6611.663,183
3676.275,3201.708,1781.039,4794.084,6829.164,184
3714.39,3075.408,1810.283,4423.824,6793.224,185
2193.708,1595.326,1500.272,2927.949,3694.395,186
2805.209,2899.439,1806.667,4126.252,5179.514,187
2722.808,2745.41,1818.641,4264.638,5128.871,188
2065.913,2081.592,1329.824,2158.313,3495.377,189
3158.574,2876.273,1713.014,4065.032,5689.516,190
3440.081,3254.623,1780.598,4262.807,6219.64,191
3953.202,3085.695,1691.905,4584.621,6981.156,192
1509.233,1400.24,1068.491,1807.267,2523.99,193
741.687,778.746,653.092,804.415,1230.389,194
1946.935,1549.611,930.814,1416.477,3000.559,195
1389.003,1370.523,935.997,1454.9,2158.715,196
3709.195,3210.381,1578.179,3790.303,6319.948,197
3738.43,2639.794,1706.977,4958.895,6451.192,198
3536.227,3102.057,1649.45,4351.286,6133.011,199
1795.765,2458.219,949.938,1266.052,3017.679,200
1873.319,1181.255,1393.363,4043.582,3409.439,201
3942.246,3189.467,1544.137,4244.894,6570.338,202
2489.946,2265.914,1519.487,4235.467,4412.595,203
3285.812,2688.44,1546.225,4386.836,5563.961,204
2110.352,1441.189,1204.892,3173.988,3506.512,205
1766.769,926.445,1015.208,2508.246,2812.625,206
2049.306,1079.269,1264.067,3685.431,3487.288,207
2300.278,2071.402,1074.691,1909.062,3451.841,208
2510.405,2142.183,995.579,1952.804,3724.91,209
3137.45,2462.018,1499.951,3899.067,4986.411,210
3270.178,2772.233,1394.176,3926.112,5200.217,211
2892.873,2711.591,1494.895,3570.899,4631.624,212
4113.84,3135.833,1420.547,4286.618,6345.744,213
4244.113,3101.406,1621.628,5091.535,6459.91,214
3533.191,2673.371,1302.829,3453.418,5212.036,215
3427.82,2502.246,1297.225,4228.116,5209.312,216
3340.391,1996.793,1307.86,4662.796,5089.037,217
2929.741,1898.155,1341.057,3190.769,4251.649,218
894.318,782.906,878.135,1335.865,1586.231,219
3612.694,2912.639,1380.131,3527.78,5225.418,220
3148.169,1914.943,1281.891,3666.427,4566.796,221
2849.702,1990.713,1157.014,3267.978,4117.848,222
3061.624,2033.772,1136.473,3376.344,4308.19,223
2717.14,2255.774,1269.853,2520.444,3831.616,224
3372.364,2423.961,1272.789,3502.445,4673.789,225
3609.149,2670.426,1141.11,3839.993,4952.508,226
1846.846,1567.991,1150.324,3055.602,2959.158,227
3140.592,2027.645,1144.862,3272.096,4200.122,228
3316.874,1921.288,1092.855,3105.019,4285.37,229
2737.779,1837.015,755.549,1248.224,3194.333,230
2705.798,1937.87,958.937,2164.621,3387.537,231
2509.861,1779.563,973.286,2972.447,3325.568,232
3233.536,1749.556,1211.964,3348.625,4155.521,233
2593.804,1526.813,1182.739,2961.181,3404.941,234
3976.082,2465.313,1131.42,2805.59,4697.319,235
3319.457,1709.508,1211.846,3104.591,4097.304,236
3389.314,2035.233,1022.204,2462.432,3924.47,237
4434.135,2437.854,1047.337,4308.257,5154.365,238
3217.597,1508.976,938.115,4110.3,3878.638,239
3471.007,2164.334,920.009,2815.942,3911.942,240
3635.668,2370.404,1144.125,2765.731,4205.324,241
3082.862,1666.478,942.772,2870.573,3528.615,242
3096.294,1866.574,824.146,1568.066,3242.049,243
2841.374,2170.033,880.109,1295.712,3158.736,244
3800.71,2545.207,918.403,3142.746,4056.775,245
2215.141,1533.835,810.868,1721.333,2417.663,246
1558.387,899.147,662.544,1943.66,1822.826,247
3550.05,2314.644,848.618,2818.404,3616.533,248
2846.916,1399.083,928.531,2642.071,3059.576,249
3512.805,2058.541,896.056,3135.386,3589.504,250
3394.505,2241.256,853.002,2912.626,3419.464,251
4272.872,2361.556,887.736,3231.18,4082.229,252
3625.044,1752.694,887.755,2635.929,3513.714,253
1073.384,739.482,655.344,1419.257,1478.47,254
3517.55,1967.267,865.141,2659.644,3348.932,255
4030.211,2578.614,887.652,2486.475,3718.167,256
4943.176,2636.446,901.921,3322.363,4363.34,257
3765.026,1364.19,795.726,3164.292,3387.11,258
1089.075,832.339,458.823,609.683,1133.405,259
3232.06,1713.977,773.013,2246.98,2908.705,260
3211.961,1773.577,751.599,2205.176,2839.359,261
3693.494,2134.891,868.532,2424.023,3261.769,262
4555.204,2226.903,824.488,2838.353,3733.577,263
5228.45,2584.284,821.998,3145.226,4125.28,264
4841.085,2288.756,810.946,3030.443,3821.845,265
1809.274,1464.692,624.379,927.67,1693.615,266
2072.066,918.613,635.094,1421.513,1873.885,267
3146.601,1641.184,722.017,1940.107,2585.371,268
636.559,389.253,374.398,705.127,778.721,269
3725.912,1626.111,688.899,2153.077,2828.734,270
2942.702,1306.767,595.004,1880.372,2253.634,271
595.882,308.034,270.011,423.969,621.845,272
3562.657,1763.279,654.752,2117.521,2605.142,273
2406.94,770.847,617.633,2186.689,1990.66,274
1771.731,637.209,605.76,2041.446,1683.541,275
223.588,218.56,210.71,216.072,405.532,276
4153.77,1287.84,618.044,2517.311,2788.4,277
1803.905,510.3,404.245,1318.766,1341.316,278
2668.374,1168.23,505.013,1390.855,1849.196,279
2577.222,1244.364,615.602,1191.117,1988.834,280
4334.424,1477.615,649.191,2175.815,2829.757,281
4601.001,1238.606,557.058,2701.904,2761.082,282
3839.677,1089.327,622.258,2046.982,2545.454,283
2772.544,911.869,513.228,1713.526,1854.327,284
3235.439,1028.174,514.258,1472.424,2047.672,285
1911.171,688.363,505.279,1433.935,1443.74,286
2229.376,771.18,460.298,1335.153,1501.107,287
3319.916,814.758,467.24,1632.179,1970.531,288
2287.819,812.049,482.482,1239.535,1558.382,289
1741.149,603.421,489.986,1552.535,1333.573,290
2017.664,818.823,605.248,1328.923,1631.412,291
486.069,368.309,197.965,218.23,460.918,292
1059.351,567.431,315.102,463.852,796.86,293
1900.833,722.012,383.801,989.932,1190.568,294
1110.804,408.316,272.183,850.876,734.883,295
2329.159,751.302,451.637,1255.023,1432.162,296
4476.941,994.176,515.413,2173.668,2131.06,297
737.943,374.972,256.139,382.08,590.481,298
1641.007,536.948,387.151,1289.675,1043.828,299
2418.118,714.975,428.335,1363.433,1386.56,300
4103.724,894.412,436.388,1802.967,1898.85,301
3504.286,849.566,454.7,1555.64,1745.704,302
266.063,223.537,194.558,227.39,390.446,303
1083.489,332.684,329.327,1063.346,829.158,304
2071.649,868.42,432.746,812.621,1229.008,305
1997.786,668.188,334.75,772.661,1045.462,306
1430.236,614.114,295.977,605.697,788.374,307
3374.009,755.471,388.024,1214.881,1499.544,308
2768.324,806.931,383.141,1056.417,1311.34,309
3567.13,828.876,363.557,1276.755,1457.545,310
1596.274,651.81,395.771,695.088,1034.638,311
436.634,243.895,204.548,341.282,414.971,312
1652.296,504.772,336.836,634.829,937.209,313
1228.678,537.866,228.601,443.572,618.734,314
1571.859,565.653,280.793,629.608,776.138,315
1674.529,562.389,350.08,710.306,931.934,316
2932.113,797.457,328.134,924.747,1174.909,317
661.123,218.638,192.587,418.973,436.273,318
356.247,260.366,206.739,243.667,424.272,319
174.159,112.748,103.272,134.221,201.102,320
2417.475,610.014,292.618,774.192,961.049,321
1108.847,366.665,220.852,540.217,548.47,322
2782.607,748.808,287.381,748.664,1003.129,323
105.48,99.535,97.16,106.303,186.966,324
55.788,55.917,54.991,56.67,104.484,325
1823.056,788.647,297.981,493.508,832.721,326
964.485,346.482,180.177,327.532,447.955,327
987.558,529.337,217.399,275.095,523.135,328
1772.207,472.631,308.793,801.704,808.391,329
1434.534,535.754,276.723,494.154,704.406,330
118.615,108.322,77.022,79.981,147.247,331
2287.708,584.919,240.189,623.756,770.507,332
1628.802,359.422,244.976,767.485,640.631,333
2289.331,570.79,270.323,718.777,823.609,334
1324.335,348.544,245.007,562.081,600.951,335
919.622,348.161,198.645,356.757,453.408,336
2069.554,497.088,227.009,641.75,685.194,337
1765.807,509.134,217.208,547.089,615.48,338
2278.635,683.847,260.288,568.182,785.321,339
3616.356,763.428,267.825,1042.367,915.53,340
2466.793,627.07,258.778,639.839,787.299,341
829.276,365.434,197.476,286.527,457.354,342
494.473,271.554,204.376,266.852,441.578,343
245.325,123.17,112.433,179.948,217.512,344
127.405,76.192,73.773,111.904,148.554,345
1791.209,349.625,210.787,632.872,590.552,346
1100.903,293.475,195.909,468.811,464.0,347
76.285,68.72,66.321,71.696,128.432,348
403.007,199.365,105.887,137.008,222.091,349
1058.296,282.649,205.139,532.389,461.087,350
2127.556,490.027,203.969,609.287,615.602,351
1043.435,312.893,189.734,422.828,447.598,352
955.302,303.693,169.798,330.766,399.414,353
909.678,303.249,157.298,317.078,371.222,354
2794.244,572.57,238.259,935.02,696.833,355
1084.454,289.48,183.54,432.421,447.467,356
202.014,156.987,129.695,150.955,251.994,357
694.53,291.616,186.162,381.45,392.449,358
1889.231,378.009,209.092,735.787,577.0,359
94.571,81.642,78.721,92.12,152.17,360
2349.311,564.697,205.876,577.601,650.522,361
2605.378,536.304,222.214,744.125,712.211,362
1451.127,379.904,197.309,524.869,505.508,363
3212.536,646.194,245.138,954.108,783.348,364
2971.617,617.783,250.478,931.017,756.945,365
